SA3 code,state,region,children,families,services
10102,NSW,Queanbeyan,3420,2400,31
10103,NSW,Snowy Mountains,640,480,15
10104,NSW,South Coast,2220,1670,33
10105,NSW,Goulburn - Mulwaree,1550,1130,23
10106,NSW,Young - Yass,1820,1260,25
10201,NSW,Gosford,12000,8380,112
10202,NSW,Wyong,10230,7250,99
10301,NSW,Bathurst,2530,1800,31
10302,NSW,Lachlan Valley,2590,1840,37
10303,NSW,Lithgow - Mudgee,2020,1520,22
10304,NSW,Orange,3520,2460,46
10401,NSW,Clarence Valley,2130,1500,25
10402,NSW,Coffs Harbour,5540,3920,55
10501,NSW,Bourke - Cobar - Coonamble,790,570,14
10502,NSW,Broken Hill and Far West,320,230,6
10503,NSW,Dubbo,3200,2340,39
10601,NSW,Lower Hunter,5400,3820,51
10602,NSW,Maitland,8600,6060,67
10603,NSW,Port Stephens,3680,2610,45
10604,NSW,Upper Hunter,890,700,12
10701,NSW,Dapto - Port Kembla,4820,3480,48
10703,NSW,Kiama - Shellharbour,6870,4930,72
10704,NSW,Wollongong,7810,5440,94
10801,NSW,Great Lakes,1300,970,20
10802,NSW,Kempsey - Nambucca,1730,1190,23
10804,NSW,Port Macquarie,4850,3280,46
10805,NSW,Taree - Gloucester,2690,1830,36
10901,NSW,Albury,4300,2940,45
10902,SA,Lower Murray,450,330,8
10903,SA,Upper Murray exc. Albury,2260,1660,27
11001,NSW,Armidale,1220,920,19
11002,NSW,Inverell - Tenterfield,860,620,12
11003,NSW,Moree - Narrabri,1050,750,16
11004,NSW,Tamworth - Gunnedah,4620,3300,58
11101,NSW,Lake Macquarie - East,9330,6470,95
11102,NSW,Lake Macquarie - West,5540,3850,54
11103,NSW,Newcastle,12530,8680,121
11201,NSW,Richmond Valley - Coastal,3670,2650,41
11202,NSW,Richmond Valley - Hinterland,2960,2100,34
11203,NSW,Tweed Valley,5020,3500,45
11301,NSW,Griffith - Murrumbidgee (West),1450,1070,17
11302,NSW,Tumut - Tumbarumba,550,410,7
11303,NSW,Wagga Wagga,5530,3830,69
11401,NSW,Shoalhaven,4930,3520,70
11402,NSW,Southern Highlands,1780,1290,29
11501,NSW,Baulkham Hills,11450,8550,104
11502,NSW,Dural - Wisemans Ferry,1890,1430,32
11503,NSW,Hawkesbury,890,620,13
11504,NSW,Rouse Hill - McGraths Hill,6160,4740,51
11601,NSW,Blacktown,7560,5710,98
11602,NSW,Blacktown - North,12630,9730,99
11603,NSW,Mount Druitt,6240,4800,79
11701,NSW,Botany,1990,1550,28
11702,NSW,Marrickville - Sydenham - Petersham,3900,2930,41
11703,NSW,Sydney Inner City,8750,6980,123
11801,NSW,Eastern Suburbs - North,6850,5110,94
11802,NSW,Eastern Suburbs - South,8240,6020,100
11901,NSW,Bankstown,10200,7440,153
11902,NSW,Canterbury,6650,5050,102
11903,NSW,Hurstville,6660,4910,96
11904,NSW,Kogarah - Rockdale,6450,4930,92
12001,NSW,Canada Bay,5060,3840,58
12002,NSW,Leichhardt,4650,3440,51
12003,NSW,Strathfield - Burwood - Ashfield,9230,7110,114
12101,NSW,Chatswood - Lane Cove,6640,5130,85
12102,NSW,Hornsby,5820,4140,68
12103,NSW,Ku-ring-gai,7790,5800,98
12104,NSW,North Sydney - Mosman,4790,3690,60
12201,NSW,Manly,2690,1970,29
12202,NSW,Pittwater,3150,2230,32
12203,NSW,Warringah,10580,7380,107
12301,NSW,Camden,7310,5170,60
12302,NSW,Campbelltown (NSW),11090,8290,131
12303,NSW,Wollondilly,3760,2500,43
12401,NSW,Blue Mountains,3990,2720,51
12403,NSW,Penrith,12600,8920,134
12404,NSW,Richmond - Windsor,2710,2020,36
12405,NSW,St Marys,3090,2280,40
12501,NSW,Auburn,4290,3330,56
12502,NSW,Carlingford,3590,2810,46
12503,NSW,Merrylands - Guildford,7620,5750,128
12504,NSW,Parramatta,9250,7310,130
12601,NSW,Pennant Hills - Epping,3340,2550,34
12602,NSW,Ryde - Hunters Hill,10130,7660,101
12701,NSW,Bringelly - Green Valley,11610,8620,103
12702,NSW,Fairfield,7700,5810,109
12703,NSW,Liverpool,8630,6370,103
12801,NSW,Cronulla - Miranda - Caringbah,8170,5690,94
12802,NSW,Sutherland - Menai - Heathcote,8850,5990,98
20101,VIC,Ballarat,6470,4710,75
20102,NSW,Creswick - Daylesford - Ballan,880,630,17
20103,NSW,Maryborough - Pyrenees,580,410,11
20201,VIC,Bendigo,6430,4490,56
20202,NSW,Heathcote - Castlemaine - Kyneton,1860,1310,29
20203,NSW,Loddon - Elmore,90,60,5
20301,NSW,Barwon - West,1360,890,15
20302,VIC,Geelong,14300,10060,122
20303,NSW,Surf Coast - Bellarine Peninsula,5540,3890,51
20401,NSW,Upper Goulburn Valley,2390,1660,36
20402,NSW,Wangaratta - Benalla,2140,1430,32
20403,VIC,Wodonga - Alpine,4640,3110,50
20501,NSW,Baw Baw,3380,2280,42
20502,VIC,Gippsland - East,1670,1210,21
20503,VIC,Gippsland - South West,2510,1760,35
20504,VIC,Latrobe Valley,3290,2380,42
20505,NSW,Wellington,1760,1250,24
20601,NSW,Brunswick - Coburg,5430,4050,54
20602,NSW,Darebin - South,3140,2270,33
20603,NSW,Essendon,4710,3580,45
20604,VIC,Melbourne City,4970,4040,56
20605,NSW,Port Phillip,3910,3060,47
20606,NSW,Stonnington - West,1620,1320,21
20607,NSW,Yarra,5440,4040,56
20701,NSW,Boroondara,7350,5510,98
20702,NSW,Manningham - West,4470,3470,54
20703,NSW,Whitehorse - West,6310,4860,65
20801,NSW,Bayside,5790,4350,57
20802,NSW,Glen Eira,9860,7130,94
20803,NSW,Kingston,8100,5790,76
20804,NSW,Stonnington - East,1690,1310,21
20901,NSW,Banyule,7910,5670,82
20902,NSW,Darebin - North,6200,4490,58
20903,NSW,Nillumbik - Kinglake,4960,3480,48
20904,NSW,Whittlesea - Wallan,16180,11740,140
21001,NSW,Keilor,2910,2100,28
21002,NSW,Macedon Ranges,2190,1490,23
21003,NSW,Moreland - North,4250,3160,41
21004,NSW,Sunbury,3750,2620,30
21005,NSW,Tullamarine - Broadmeadows,12530,9040,109
21101,NSW,Knox,8770,6380,92
21102,NSW,Manningham - East,1110,840,14
21103,NSW,Maroondah,7770,5650,66
21104,NSW,Whitehorse - East,3730,2860,39
21105,NSW,Yarra Ranges,9380,6500,95
21201,NSW,Cardinia,9250,6610,88
21202,NSW,Casey - North,7280,5440,76
21203,NSW,Casey - South,15300,11440,137
21204,NSW,Dandenong,8540,6410,111
21205,NSW,Monash,9260,7100,97
21301,NSW,Brimbank,8620,6290,98
21302,NSW,Hobsons Bay,5470,3920,50
21303,NSW,Maribyrnong,5830,4210,48
21304,NSW,Melton - Bacchus Marsh,14470,10620,130
21305,NSW,Wyndham,24950,18860,201
21401,NSW,Frankston,9300,6610,86
21402,VIC,Mornington Peninsula,7330,5120,85
21501,NSW,Grampians,1830,1360,27
21502,VIC,Mildura,2770,1970,31
21503,SA,Murray River - Swan Hill,1210,860,17
21601,NSW,Campaspe,1400,970,17
21602,NSW,Moira,1650,1130,21
21603,VIC,Shepparton,3360,2360,49
21701,NSW,Glenelg - Southern Grampians,780,580,13
21703,NSW,Colac - Corangamite,1290,930,24
21704,NSW,Warrnambool,2490,1680,33
30101,NSW,Capalaba,5650,3940,43
30102,NSW,Cleveland - Stradbroke,6210,4300,49
30103,NSW,Wynnum - Manly,6850,5010,41
30201,NSW,Bald Hills - Everton Park,3460,2600,26
30202,NSW,Chermside,5810,4220,42
30203,NSW,Nundah,3130,2310,26
30204,NSW,Sandgate,5440,3870,40
30301,NSW,Carindale,4690,3320,26
30302,NSW,Holland Park - Yeronga,5590,4190,47
30303,NSW,Mt Gravatt,6670,4970,54
30304,NSW,Nathan,4310,3070,37
30305,NSW,Rocklea - Acacia Ridge,4880,3580,37
30306,NSW,Sunnybank,3020,2240,20
30401,NSW,Centenary,2290,1590,14
30402,NSW,Kenmore - Brookfield - Moggill,3470,2430,26
30403,NSW,Sherwood - Indooroopilly,3420,2600,30
30404,NSW,The Gap - Enoggera,4880,3430,39
30501,QLD,Brisbane Inner,4010,3280,41
30502,QLD,Brisbane Inner - East,3070,2300,25
30503,QLD,Brisbane Inner - North,5970,4420,56
30504,QLD,Brisbane Inner - West,4030,2870,34
30601,QLD,Cairns - North,3930,2780,33
30602,QLD,Cairns - South,6660,4810,68
30603,NSW,Innisfail - Cassowary Coast,740,560,12
30604,NSW,Port Douglas - Daintree,480,350,7
30605,NSW,Tablelands (East) - Kuranda,1360,1010,16
30701,NSW,Darling Downs (West) - Maranoa,1740,1220,30
30702,NSW,Darling Downs - East,1590,1080,18
30703,NSW,Granite Belt,1220,890,15
30801,NSW,Central Highlands (Qld),690,540,7
30803,QLD,Rockhampton,6690,4650,62
30804,NSW,Biloela,370,280,6
30805,NSW,Gladstone,3450,2380,31
30901,NSW,Broadbeach - Burleigh,4030,2940,27
30902,NSW,Coolangatta,2810,1980,19
30903,QLD,Gold Coast - North,3010,2280,25
30904,QLD,Gold Coast Hinterland,740,520,8
30905,NSW,Mudgeeraba - Tallebudgera,3640,2660,32
30906,NSW,Nerang,4990,3660,43
30907,NSW,Ormeau - Oxenford,13260,9450,96
30908,NSW,Robina,3360,2510,25
30909,NSW,Southport,3990,3010,37
30910,NSW,Surfers Paradise,1470,1120,14
31001,NSW,Forest Lake - Oxley,6150,4490,45
31002,NSW,Ipswich Hinterland,3340,2340,37
31003,NSW,Ipswich Inner,10140,7180,81
31004,NSW,Springfield - Redbank,11110,7890,81
31101,NSW,Beaudesert,1200,870,10
31102,NSW,Beenleigh,3080,2320,30
31103,NSW,Browns Plains,7090,5050,58
31104,NSW,Jimboomba,5730,4050,39
31105,NSW,Loganlea - Carbrook,5280,3790,49
31106,NSW,Springwood - Kingston,6700,4700,64
31201,NSW,Bowen Basin - North,1430,1040,17
31202,QLD,Mackay,6380,4510,64
31203,NSW,Whitsunday,1080,800,14
31301,NSW,Bribie - Beachmere,950,680,10
31302,NSW,Caboolture,5840,4150,50
31303,NSW,Caboolture Hinterland,590,400,6
31304,NSW,Narangba - Burpengary,4970,3540,34
31305,NSW,Redcliffe,3730,2710,33
31401,NSW,The Hills District,6260,4410,44
31402,NSW,North Lakes,7800,5750,52
31403,NSW,Strathpine,3170,2300,25
31501,NSW,Far North,720,540,24
31502,NSW,Outback - North,850,620,19
31503,NSW,Outback - South,460,350,10
31601,NSW,Buderim,4710,3390,33
31602,NSW,Caloundra,6020,4190,45
31603,NSW,Maroochy,3440,2510,26
31605,NSW,Noosa,2340,1660,21
31606,QLD,Sunshine Coast Hinterland,2900,2040,27
31607,NSW,Nambour,3710,2660,30
31608,NSW,Noosa Hinterland,710,530,10
31701,QLD,Toowoomba,10550,7250,105
31801,NSW,Charters Towers - Ayr - Ingham,1200,860,15
31802,QLD,Townsville,13710,9510,133
31901,QLD,Bundaberg,5530,3880,50
31902,NSW,Burnett,1220,870,17
31903,NSW,Gympie - Cooloola,2130,1510,24
31904,NSW,Hervey Bay,3450,2430,33
31905,NSW,Maryborough,1500,1070,15
40101,SA,Adelaide City,1930,1570,22
40102,SA,Adelaide Hills,5130,3460,54
40103,NSW,Burnside,2600,2010,21
40104,NSW,Campbelltown (SA),3150,2360,27
40105,NSW,Norwood - Payneham - St Peters,3370,2540,28
40106,NSW,Prospect - Walkerville,2840,2130,23
40107,NSW,Unley,2920,2130,33
40201,NSW,Gawler - Two Wells,3380,2370,27
40202,NSW,Playford,6570,4760,54
40203,SA,Port Adelaide - East,3420,2620,35
40204,NSW,Salisbury,6710,5030,71
40205,NSW,Tea Tree Gully,6630,4690,55
40301,NSW,Holdfast Bay,3150,2290,23
40302,NSW,Marion,4710,3560,47
40303,NSW,Mitcham,5020,3600,40
40304,SA,Onkaparinga,11150,7710,101
40401,NSW,Charles Sturt,6710,4840,50
40402,SA,Port Adelaide - West,2970,2200,29
40403,NSW,West Torrens,4430,3360,42
40501,SA,Barossa,1790,1220,23
40502,NSW,Lower North,810,510,12
40503,NSW,Mid North,850,620,12
40504,NSW,Yorke Peninsula,650,480,11
40601,NSW,Eyre Peninsula and South West,1780,1300,29
40602,NSW,Outback - North and East,610,430,9
40701,NSW,Fleurieu - Kangaroo Island,1780,1270,25
40702,NSW,Limestone Coast,2440,1740,25
40703,SA,Murray and Mallee,2250,1590,31
50101,WA,Augusta - Margaret River - Busselton,3410,2420,30
50102,WA,Bunbury,3880,2810,50
50103,NSW,Manjimup,370,280,10
50201,WA,Mandurah,4620,3290,52
50301,NSW,Cottesloe - Claremont,2900,2160,44
50302,WA,Perth City,5820,4470,66
50401,NSW,Bayswater - Bassendean,4030,3030,46
50402,NSW,Mundaring,2210,1600,20
50403,NSW,Swan,8760,6260,90
50501,NSW,Joondalup,10960,7650,102
50502,NSW,Stirling,10430,7640,116
50503,NSW,Wanneroo,12750,9130,130
50601,NSW,Armadale,6540,4700,64
50602,NSW,Belmont - Victoria Park,3850,2850,41
50603,NSW,Canning,4540,3420,55
50604,NSW,Gosnells,5960,4360,75
50605,NSW,Kalamunda,2720,1940,31
50606,NSW,Serpentine - Jarrahdale,2130,1490,22
50607,WA,South Perth,2260,1690,26
50701,NSW,Cockburn,6700,4900,66
50702,NSW,Fremantle,2340,1720,30
50703,NSW,Kwinana,2940,2120,26
50704,NSW,Melville,5140,3790,59
50705,NSW,Rockingham,7880,5560,78
50901,WA,Albany,2360,1730,25
50902,NSW,Wheat Belt - North,920,660,23
50903,NSW,Wheat Belt - South,510,380,12
51001,WA,Kimberley,1010,720,17
51002,WA,East Pilbara,770,570,10
51003,WA,West Pilbara,1260,910,23
51101,WA,Esperance,280,220,7
51102,NSW,Gascoyne,100,90,4
51103,NSW,Goldfields,1200,940,13
51104,NSW,Mid West,1610,1130,25
60101,NSW,Brighton,710,530,6
60102,TAS,Hobart - North East,3380,2450,31
60103,TAS,Hobart - North West,1820,1360,25
60104,TAS,Hobart - South and West,2240,1640,18
60105,TAS,Hobart Inner,4240,3150,43
60106,NSW,Sorell - Dodges Ferry,850,620,11
60201,TAS,Launceston,4830,3540,47
60202,NSW,Meander Valley - West Tamar,450,320,7
60203,NSW,North East,720,510,15
60301,NSW,Central Highlands (Tas.),170,120,5
60302,NSW,Huon - Bruny Island,460,340,7
60303,NSW,South East Coast,110,90,5
60401,TAS,Burnie - Ulverstone,2110,1490,26
60402,TAS,Devonport,1450,1060,17
60403,NSW,West Coast,400,290,6
70101,NT,Darwin City,1340,1010,16
70102,NT,Darwin Suburbs,3700,2620,53
70103,NSW,Litchfield,1350,910,16
70104,NT,Palmerston,3350,2380,38
70201,NT,Alice Springs,970,770,31
70202,NSW,Barkly,60,50,4
70203,NSW,Daly - Tiwi - West Arnhem,100,90,7
70204,NSW,East Arnhem,350,240,6
70205,NT,Katherine,520,370,17
80101,ACT,Belconnen,6840,4910,65
80103,ACT,Canberra East,390,330,4
80104,ACT,Gungahlin,5800,4250,48
80105,ACT,North Canberra,3760,2800,43
80106,ACT,South Canberra,3450,2660,38
80107,ACT,Tuggeranong,5610,4040,57
80108,NSW,Weston Creek,1710,1260,16
80109,ACT,Woden Valley,3250,2360,30
80110,ACT,Molonglo,670,540,4
,,,,,
"*As children may use services in more than one SA3, and due to rounding, the sum of the component parts may not equal the total.",,,,,
Source: Department of Education administrative data.,,,,,
